"Grupo.Operador","ano.mes","Importados"
"Movistar","1610",94.592
"Vodafone","1610",114.996
"Orange","1610",154.405
"Grupo MASMOV!L","1610",79.241
"OMV","1610",33.958
"Movistar","1611",96.825
"Vodafone","1611",129.513
"Orange","1611",159.661
"Grupo MASMOV!L","1611",77.954
"OMV","1611",36.941
"Movistar","1612",114.421
"Vodafone","1612",124.14
"Orange","1612",143.346
"Grupo MASMOV!L","1612",75.162
"OMV","1612",35.809
"Movistar","1701",118.64
"Vodafone","1701",150.216
"Orange","1701",154.053
"Grupo MASMOV!L","1701",90.775
"OMV","1701",39.324
"Movistar","1702",100.145
"Vodafone","1702",113.278
"Orange","1702",147.284
"Grupo MASMOV!L","1702",83.676
"OMV","1702",37.824
"Movistar","1703",114.865
"Vodafone","1703",133.644
"Orange","1703",156.396
"Grupo MASMOV!L","1703",90.043
"OMV","1703",42.44
"Movistar","1704",85.426
"Vodafone","1704",93.637
"Orange","1704",109.906
"Grupo MASMOV!L","1704",64.519
"OMV","1704",37.829
"Movistar","1705",98.62
"Vodafone","1705",118.23
"Orange","1705",135.873
"Grupo MASMOV!L","1705",80.647
"OMV","1705",53.704
"Movistar","1706",95.475
"Vodafone","1706",128.131
"Orange","1706",136.158
"Grupo MASMOV!L","1706",91.588
"OMV","1706",54.845
"Movistar","1707",101.045
"Vodafone","1707",123.125
"Orange","1707",140.969
"Grupo MASMOV!L","1707",106.218
"OMV","1707",52.175
"Movistar","1708",101.165
"Vodafone","1708",123.786
"Orange","1708",144.275
"Grupo MASMOV!L","1708",109.658
"OMV","1708",51.775
"Movistar","1709",118.888
"Vodafone","1709",144.912
"Orange","1709",155.34
"Grupo MASMOV!L","1709",122.021
"OMV","1709",55.474
"Movistar","1710",127.194
"Vodafone","1710",143.46
"Orange","1710",157.272
"Grupo MASMOV!L","1710",126.844
"OMV","1710",57.624
"Movistar","1711",156.41
"Vodafone","1711",161.952
"Orange","1711",172.778
"Grupo MASMOV!L","1711",129.076
"OMV","1711",55.901
"Movistar","1712",124.426
"Vodafone","1712",145.976
"Orange","1712",192.119
"Grupo MASMOV!L","1712",111.734
"OMV","1712",47.978
"Movistar","1801",145.951
"Vodafone","1801",148.909
"Orange","1801",183.323
"Grupo MASMOV!L","1801",147.227
"OMV","1801",62.564
"Movistar","1802",121.478
"Vodafone","1802",108.508
"Orange","1802",136.073
"Grupo MASMOV!L","1802",146.914
"OMV","1802",61.148
"Movistar","1803",116.64
"Vodafone","1803",124.182
"Orange","1803",141.673
"Grupo MASMOV!L","1803",142.684
"OMV","1803",72.756
"Movistar","1804",109.968
"Vodafone","1804",121.025
"Orange","1804",148.637
"Grupo MASMOV!L","1804",135.015
"OMV","1804",75.624
"Movistar","1805",124.456
"Vodafone","1805",145.559
"Orange","1805",145.571
"Grupo MASMOV!L","1805",138.534
"OMV","1805",80.668
"Movistar","1806",122.455
"Vodafone","1806",138.441
"Orange","1806",134.063
"Grupo MASMOV!L","1806",118.615
"OMV","1806",74.888
"Movistar","1807",117.7
"Vodafone","1807",144.825
"Orange","1807",137.715
"Grupo MASMOV!L","1807",130.327
"OMV","1807",69.8
"Movistar","1808",193.022
"Vodafone","1808",131.618
"Orange","1808",134.977
"Grupo MASMOV!L","1808",127.058
"OMV","1808",63.07
"Movistar","1809",188.446
"Vodafone","1809",176.611
"Orange","1809",146.733
"Grupo MASMOV!L","1809",124.977
"OMV","1809",63.94
"Movistar","1810",171.997
"Vodafone","1810",155.926
"Orange","1810",150.822
"Grupo MASMOV!L","1810",147.518
"OMV","1810",81.447
"Movistar","1811",128.893
"Vodafone","1811",137.993
"Orange","1811",138.869
"Grupo MASMOV!L","1811",145.979
"OMV","1811",81.373
"Movistar","1812",98.499
"Vodafone","1812",130.902
"Orange","1812",121.367
"Grupo MASMOV!L","1812",116.003
"OMV","1812",71.199
